"","Year","Country","HTS8","Value"
"1",1997,"Afghanistan","01060050",18786
"2",1997,"Afghanistan","08025040",901755
"3",1997,"Afghanistan","08062010",885495
"4",1997,"Afghanistan","09041100",89475
"5",1997,"Afghanistan","09093000",2739
"6",1997,"Afghanistan","12111000",5201742
"7",1997,"Afghanistan","14041000",55090
"8",1997,"Afghanistan","22030000",48269
"9",1997,"Afghanistan","27073000",0
"10",1997,"Afghanistan","27111200",0
"11",1997,"Afghanistan","27112900",0
"12",1997,"Afghanistan","27131100",0
"13",1997,"Afghanistan","28183000",43876
"14",1997,"Afghanistan","29143910",89071
"15",1997,"Afghanistan","29154010",14701
"16",1997,"Afghanistan","29333920",31165
"17",1997,"Afghanistan","30043900",493517
"18",1997,"Afghanistan","32041135",2488
"19",1997,"Afghanistan","33030030",58964
"20",1997,"Afghanistan","34049050",17518
"21",1997,"Afghanistan","38011050",40893
"22",1997,"Afghanistan","38249028",22330
"23",1997,"Afghanistan","39206200",7874
"24",1997,"Afghanistan","40102260",2947
"25",1997,"Afghanistan","40169350",8432
"26",1997,"Afghanistan","42029245",371
"27",1997,"Afghanistan","43031000",1980
"28",1997,"Afghanistan","51021040",179739
"29",1997,"Afghanistan","55032000",60000
"30",1997,"Afghanistan","57011016",1428
"31",1997,"Afghanistan","57011040",23071
"32",1997,"Afghanistan","57011090",9196
"33",1997,"Afghanistan","57021090",66158
"34",1997,"Afghanistan","57024120",6476
"35",1997,"Afghanistan","57029130",678
"36",1997,"Afghanistan","57050020",574
"37",1997,"Afghanistan","61102020",8570
"38",1997,"Afghanistan","63049200",264
"39",1997,"Afghanistan","64039990",116374
"40",1997,"Afghanistan","68030050",3814
"41",1997,"Afghanistan","71031020",118000
"42",1997,"Afghanistan","72029950",18518
"43",1997,"Afghanistan","84295910",25296
"44",1997,"Afghanistan","85045080",0
"45",1997,"Afghanistan","85322900",1586
"46",1997,"Afghanistan","85365080",4132
"47",1997,"Afghanistan","87019010",69826
"48",1997,"Afghanistan","87149980",1761
"49",1997,"Afghanistan","91021150",2311
"50",1997,"Afghanistan","91021165",17361
"51",1997,"Afghanistan","91022170",1135
"52",1997,"Afghanistan","97011000",4000
"53",1997,"Afghanistan","97030000",372194
"54",1997,"Afghanistan","97040000",1520
"55",1997,"Afghanistan","97050000",2000
"56",1997,"Afghanistan","97060000",604448
"57",1997,"Afghanistan","98010010",220000
"58",1997,"Afghanistan","99999500",24609
"59",1997,"Albania","07129060",220356
"60",1997,"Albania","09095000",8658
"61",1997,"Albania","09104020",1469
"62",1997,"Albania","09104030",1388
"63",1997,"Albania","09109960",23213
"64",1997,"Albania","12119080",3000808
"65",1997,"Albania","24011044",4145097
"66",1997,"Albania","29161420",5796
"67",1997,"Albania","33012950",105570
"68",1997,"Albania","39259000",255
"69",1997,"Albania","42061030",3770
"70",1997,"Albania","57011040",5522
"71",1997,"Albania","61061000",76690
"72",1997,"Albania","61082100",8114
"73",1997,"Albania","61083100",666850
"74",1997,"Albania","62052020",0
"75",1997,"Albania","62089110",23595
"76",1997,"Albania","64039960",18888
"77",1997,"Albania","64039990",1769386
"78",1997,"Albania","71171990",3666
"79",1997,"Albania","72024100",1346427
"80",1997,"Albania","84313980",4970
"81",1997,"Albania","84713000",2000
"82",1997,"Albania","84714942",1950
"83",1997,"Albania","84716080",7150
"84",1997,"Albania","84733010",2670
"85",1997,"Albania","84733030",1479
"86",1997,"Albania","85416000",1312
"87",1997,"Albania","85423000",41536
"88",1997,"Albania","87089450",1688
"89",1997,"Albania","98010010",141120
"90",1997,"Albania","99999500",62959
"91",1997,"Algeria","17029035",580690
"92",1997,"Algeria","27090010",54461584
"93",1997,"Algeria","27090020",190444016
"94",1997,"Algeria","27100005",364556672
"95",1997,"Algeria","27100010",133262020
"96",1997,"Algeria","27100015",7591162
"97",1997,"Algeria","27100018",4333432
"98",1997,"Algeria","27100025",31192481
"99",1997,"Algeria","27100045",1289834544
"100",1997,"Algeria","27111100",127587976
"101",1997,"Algeria","27111200",109480781
"102",1997,"Algeria","27111300",95559525
"103",1997,"Algeria","29011010",21021346
"104",1997,"Algeria","29181990",37396
"105",1997,"Algeria","33019010",132289
"106",1997,"Algeria","37029400",1575
"107",1997,"Algeria","44083900",40364
"108",1997,"Algeria","62031120",5400
"109",1997,"Algeria","62031210",14200
"110",1997,"Algeria","62064030",1362
"111",1997,"Algeria","62093030",120246
"112",1997,"Algeria","62114300",1496
"113",1997,"Algeria","73121070",2857
"114",1997,"Algeria","79011100",6247847
"115",1997,"Algeria","82022000",1900
"116",1997,"Algeria","84138100",3119
"117",1997,"Algeria","84619080",133868
"118",1997,"Algeria","84715040",21473
"119",1997,"Algeria","84831010",2627
"120",1997,"Algeria","85291020",3000
"121",1997,"Algeria","97050000",12000
"122",1997,"Algeria","97060000",15000
"123",1997,"Algeria","98010010",1965749
"124",1997,"Algeria","99999500",24994
"125",1997,"Andorra","39173100",2981
"126",1997,"Andorra","71131929",1254
"127",1997,"Andorra","71131950",83588
"128",1997,"Andorra","84339050",1349
"129",1997,"Andorra","84839050",2182
"130",1997,"Andorra","85312000",25416
"131",1997,"Andorra","85365090",2723
"132",1997,"Andorra","87089924",29836
"133",1997,"Andorra","87089980",2454
"134",1997,"Andorra","90314100",121360
"135",1997,"Andorra","95039000",741
"136",1997,"Andorra","98010010",11930
"137",1997,"Andorra","99999500",1648
"138",1997,"Angola","25030000",0
"139",1997,"Angola","25062900",12000
"140",1997,"Angola","27071000",0
"141",1997,"Angola","27073000",0
"142",1997,"Angola","27075000",0
"143",1997,"Angola","27079950",0
"144",1997,"Angola","27090010",46800959
"145",1997,"Angola","27090020",2687315160
"146",1997,"Angola","27100005",26198753
"147",1997,"Angola","27100010",0
"148",1997,"Angola","27100015",3929
"149",1997,"Angola","27100020",0
"150",1997,"Angola","27100025",17783638
"151",1997,"Angola","27100045",0
"152",1997,"Angola","27111200",0
"153",1997,"Angola","27111300",0
"154",1997,"Angola","27111400",0
"155",1997,"Angola","27111900",0
"156",1997,"Angola","27112900",0
"157",1997,"Angola","27129020",0
"158",1997,"Angola","27131100",0
"159",1997,"Angola","27132000",0
"160",1997,"Angola","28020000",0
"161",1997,"Angola","28070000",0
"162",1997,"Angola","29011010",0
"163",1997,"Angola","29012100",0
"164",1997,"Angola","29012200",0
"165",1997,"Angola","29022000",0
"166",1997,"Angola","29023000",0
"167",1997,"Angola","29024400",0
"168",1997,"Angola","29027000",0
"169",1997,"Angola","71023100",450354
"170",1997,"Angola","84714100",6000
"171",1997,"Angola","85252030",5140
"172",1997,"Angola","86090000",1500
"173",1997,"Angola","97019000",14012
"174",1997,"Angola","97050000",32732
"175",1997,"Angola","97060000",1554000
"176",1997,"Angola","98010010",4137684
"177",1997,"Anguilla","22071030",113731
"178",1997,"Anguilla","22084040",158858
"179",1997,"Anguilla","40112050",269
"180",1997,"Anguilla","44201000",15000
"181",1997,"Anguilla","51111170",33158
"182",1997,"Anguilla","61101020",16974
"183",1997,"Anguilla","69139030",5000
"184",1997,"Anguilla","71131950",4600
"185",1997,"Anguilla","84733090",3950
"186",1997,"Anguilla","88032000",1518
"187",1997,"Anguilla","97011000",1800
"188",1997,"Anguilla","97019000",3100
"189",1997,"Anguilla","98010010",348014
"190",1997,"Anguilla","98010025",9300
"191",1997,"Anguilla","99999500",1560
"192",1997,"Antigua and Barbuda","03026940",221759
"193",1997,"Antigua and Barbuda","04090000",31465
"194",1997,"Antigua and Barbuda","04100000",3000
"195",1997,"Antigua and Barbuda","09011100",85566
"196",1997,"Antigua and Barbuda","09012100",9482
"197",1997,"Antigua and Barbuda","09024000",42300
"198",1997,"Antigua and Barbuda","09030000",15000
"199",1997,"Antigua and Barbuda","12092900",31985
"200",1997,"Antigua and Barbuda","22021000",77966
"201",1997,"Antigua and Barbuda","22084000",2865
"202",1997,"Antigua and Barbuda","22084040",3651
"203",1997,"Antigua and Barbuda","22087000",2030
"204",1997,"Antigua and Barbuda","25051050",3000
"205",1997,"Antigua and Barbuda","25059000",167786
"206",1997,"Antigua and Barbuda","25239000",20250
"207",1997,"Antigua and Barbuda","39139020",24000
"208",1997,"Antigua and Barbuda","40113000",4850
"209",1997,"Antigua and Barbuda","41043140",6043
"210",1997,"Antigua and Barbuda","49019900",4600
"211",1997,"Antigua and Barbuda","52029950",32079
"212",1997,"Antigua and Barbuda","61044420",633
"213",1997,"Antigua and Barbuda","61062020",448
"214",1997,"Antigua and Barbuda","61091000",315
"215",1997,"Antigua and Barbuda","61103030",635
"216",1997,"Antigua and Barbuda","61121100",657
"217",1997,"Antigua and Barbuda","70139990",2200
"218",1997,"Antigua and Barbuda","71121000",1040000
"219",1997,"Antigua and Barbuda","71129000",1600
"220",1997,"Antigua and Barbuda","71131910",1925
"221",1997,"Antigua and Barbuda","71131929",61856
"222",1997,"Antigua and Barbuda","71131950",1315
"223",1997,"Antigua and Barbuda","71162005",3640
"224",1997,"Antigua and Barbuda","74040030",54320
"225",1997,"Antigua and Barbuda","74040060",21338
"226",1997,"Antigua and Barbuda","76020000",575813
"227",1997,"Antigua and Barbuda","82042000",1695
"228",1997,"Antigua and Barbuda","82057000",3493
"229",1997,"Antigua and Barbuda","82071300",6636
"230",1997,"Antigua and Barbuda","84091000",4015
"231",1997,"Antigua and Barbuda","84118180",3299
"232",1997,"Antigua and Barbuda","84295910",50000
"233",1997,"Antigua and Barbuda","84713000",1500
"234",1997,"Antigua and Barbuda","84714910",3750
"235",1997,"Antigua and Barbuda","84717040",1600
"236",1997,"Antigua and Barbuda","84733020",3093
"237",1997,"Antigua and Barbuda","84733050",14599
"238",1997,"Antigua and Barbuda","84794000",6410
"239",1997,"Antigua and Barbuda","84798100",1429
"240",1997,"Antigua and Barbuda","85158080",38100
"241",1997,"Antigua and Barbuda","85173050",3008
"242",1997,"Antigua and Barbuda","85340000",15913
"243",1997,"Antigua and Barbuda","87082950",1813
"244",1997,"Antigua and Barbuda","88031000",8000
"245",1997,"Antigua and Barbuda","91149030",296687
"246",1997,"Antigua and Barbuda","97011000",12300
"247",1997,"Antigua and Barbuda","97019000",3626
"248",1997,"Antigua and Barbuda","98010010",1915701
"249",1997,"Antigua and Barbuda","99999500",69278
"250",1997,"Argentina","01011100",5710573
"251",1997,"Argentina","01011900",354500
"252",1997,"Argentina","02013002",73940
"253",1997,"Argentina","02013006",54112
"254",1997,"Argentina","02013010",165497
"255",1997,"Argentina","02013030",26952
"256",1997,"Argentina","02013050",2678797
"257",1997,"Argentina","02022002",10160
"258",1997,"Argentina","02022004",3720
"259",1997,"Argentina","02023002",2727
"260",1997,"Argentina","02023010",262795
"261",1997,"Argentina","02023050",9353548
"262",1997,"Argentina","03011000",1795
"263",1997,"Argentina","03022900",5300
"264",1997,"Argentina","03026920",220037
"265",1997,"Argentina","03026940",991330
"266",1997,"Argentina","03032200",61692
"267",1997,"Argentina","03034900",2048
"268",1997,"Argentina","03037700",14030358
"269",1997,"Argentina","03037800",720844
"270",1997,"Argentina","03037940",1509888
"271",1997,"Argentina","03041040",2868399
"272",1997,"Argentina","03042020",8250151
"273",1997,"Argentina","03042060",41260648
"274",1997,"Argentina","03049010",549152
