"","Year","Country","HTS8","Value"
"1",2015,"British Virgin Islands","03048950",7735
"2",2015,"British Virgin Islands","21039090",3943
"3",2015,"British Virgin Islands","24031930",8306
"4",2015,"British Virgin Islands","33049950",211573
"5",2015,"British Virgin Islands","33051000",340658
"6",2015,"British Virgin Islands","39013060",31482
"7",2015,"British Virgin Islands","39253010",48638
"8",2015,"British Virgin Islands","39269045",6492
"9",2015,"British Virgin Islands","39269099",10500
"10",2015,"British Virgin Islands","40111010",323407
"11",2015,"British Virgin Islands","40169350",6636
"12",2015,"British Virgin Islands","42021100",2691
"13",2015,"British Virgin Islands","42029230",3684
"14",2015,"British Virgin Islands","42029290",1872
"15",2015,"British Virgin Islands","42031040",8857
"16",2015,"British Virgin Islands","42034060",4070
"17",2015,"British Virgin Islands","44209065",28652
"18",2015,"British Virgin Islands","61091000",1212
"19",2015,"British Virgin Islands","62011990",39325
"20",2015,"British Virgin Islands","63049915",70200
"21",2015,"British Virgin Islands","63079098",980
"22",2015,"British Virgin Islands","64039160",2404
"23",2015,"British Virgin Islands","64039960",223296
"24",2015,"British Virgin Islands","64069030",5000
"25",2015,"British Virgin Islands","65070000",20631
"26",2015,"British Virgin Islands","68029200",4606
"27",2015,"British Virgin Islands","68159100",108683
"28",2015,"British Virgin Islands","70169050",2174
"29",2015,"British Virgin Islands","71023900",14000
"30",2015,"British Virgin Islands","71131150",4500
"31",2015,"British Virgin Islands","71131950",8233
"32",2015,"British Virgin Islands","71171990",203247
"33",2015,"British Virgin Islands","71179090",101550
"34",2015,"British Virgin Islands","72044900",5500
"35",2015,"British Virgin Islands","73084000",17682
"36",2015,"British Virgin Islands","73181300",43038
"37",2015,"British Virgin Islands","73181520",31550
"38",2015,"British Virgin Islands","73181600",5460
"39",2015,"British Virgin Islands","73181900",18315
"40",2015,"British Virgin Islands","73239300",47567
"41",2015,"British Virgin Islands","73269085",4424
"42",2015,"British Virgin Islands","74040030",2400
"43",2015,"British Virgin Islands","74153900",12057
"44",2015,"British Virgin Islands","79012000",13910
"45",2015,"British Virgin Islands","79070010",22151
"46",2015,"British Virgin Islands","79070060",17842
"47",2015,"British Virgin Islands","82152000",10900
"48",2015,"British Virgin Islands","82159915",2071
"49",2015,"British Virgin Islands","82159935",2231
"50",2015,"British Virgin Islands","82159950",2378
"51",2015,"British Virgin Islands","83025000",11758
"52",2015,"British Virgin Islands","83062900",37265
"53",2015,"British Virgin Islands","83063000",40017
"54",2015,"British Virgin Islands","84081000",40000
"55",2015,"British Virgin Islands","84089090",0
"56",2015,"British Virgin Islands","84099199",5800
"57",2015,"British Virgin Islands","84129090",142089
"58",2015,"British Virgin Islands","84133090",11650
"59",2015,"British Virgin Islands","84139190",7000
"60",2015,"British Virgin Islands","84148020",9500
"61",2015,"British Virgin Islands","84158201",2425
"62",2015,"British Virgin Islands","84229091",23433
"63",2015,"British Virgin Islands","84248900",4495
"64",2015,"British Virgin Islands","84713001",5096
"65",2015,"British Virgin Islands","84818030",18001
"66",2015,"British Virgin Islands","84834090",4000
"67",2015,"British Virgin Islands","84871000",197559
"68",2015,"British Virgin Islands","85044095",2233
"69",2015,"British Virgin Islands","85068000",96576
"70",2015,"British Virgin Islands","85124040",45066
"71",2015,"British Virgin Islands","85176900",30000
"72",2015,"British Virgin Islands","85258040",5000
"73",2015,"British Virgin Islands","85269100",32458
"74",2015,"British Virgin Islands","85340000",132311
"75",2015,"British Virgin Islands","85414020",12705
"76",2015,"British Virgin Islands","85469000",20000
"77",2015,"British Virgin Islands","85489001",40000
"78",2015,"British Virgin Islands","86090000",65600
"79",2015,"British Virgin Islands","87141000",6900
"80",2015,"British Virgin Islands","88033000",2550
"81",2015,"British Virgin Islands","89039100",132750
"82",2015,"British Virgin Islands","89039200",5e+05
"83",2015,"British Virgin Islands","90142060",5999
"84",2015,"British Virgin Islands","90152040",5000
"85",2015,"British Virgin Islands","90319090",2400
"86",2015,"British Virgin Islands","94029000",500
"87",2015,"British Virgin Islands","94032000",15530
"88",2015,"British Virgin Islands","94035090",239282
"89",2015,"British Virgin Islands","94039070",744
"90",2015,"British Virgin Islands","94052080",1264
"91",2015,"British Virgin Islands","94054080",4608
"92",2015,"British Virgin Islands","94055040",12808
"93",2015,"British Virgin Islands","95051010",33169
"94",2015,"British Virgin Islands","95051015",24235
"95",2015,"British Virgin Islands","95051025",336455
"96",2015,"British Virgin Islands","95059060",42600
"97",2015,"British Virgin Islands","95066240",3750
"98",2015,"British Virgin Islands","95069905",43067
"99",2015,"British Virgin Islands","95069920",489473
"100",2015,"British Virgin Islands","96032980",3485
"101",2015,"British Virgin Islands","96033060",5075
"102",2015,"British Virgin Islands","96071900",8376
"103",2015,"British Virgin Islands","97030000",3000
"104",2015,"British Virgin Islands","97050000",9965
"105",2015,"British Virgin Islands","98010010",11128671
"106",2015,"British Virgin Islands","98010025",6715
"107",2015,"British Virgin Islands","98020050",3118
"108",2015,"British Virgin Islands","98170050",2898
"109",2015,"British Virgin Islands","99999500",256261
"110",2015,"Curaçao","22029036",5083
"111",2015,"Curaçao","22029037",70982
"112",2015,"Curaçao","22029090",151107
"113",2015,"Curaçao","22084020",17634
"114",2015,"Curaçao","22084040",87496
"115",2015,"Curaçao","22087000",161442
"116",2015,"Curaçao","25030000",691648
"117",2015,"Curaçao","25174900",18170
"118",2015,"Curaçao","27101225",7577933
"119",2015,"Curaçao","27101906",4095335
"120",2015,"Curaçao","27101911",11500
"121",2015,"Curaçao","27101916",83559098
"122",2015,"Curaçao","27101926",0
"123",2015,"Curaçao","27101930",4299585
"124",2015,"Curaçao","27101945",29012529
"125",2015,"Curaçao","27109910",11875
"126",2015,"Curaçao","27132000",1244473
"127",2015,"Curaçao","29419050",1212520
